,SPX Index,DJI Index,CCMP Index,NKY Index,SX5E Index,DAX Index,CAC Index,IBEX Index,UKX Index,SPTSX Index,ASX Index,NZSE Index,HSI Index,SHCOMP Index,SENSEX Index,IBOV Index,MEXBOL Index,JALSH Index,WIG Index,DXY Curncy,JPY Curncy,EUR Curncy,GBP Curncy,CAD Curncy,AUD Curncy,NZD Curncy,HKD Curncy,INR Curncy,BRL Curncy,MXN Curncy,ZAR Curncy,PLN Curncy,CO1 Comdty,NG1 Comdty,XAU Curncy,XAG Curncy,PL1 Comdty,HG1 Comdty,S 1 Comdty,W 1 Comdty,C 1 Comdty,CT1 Comdty,Index_ptfl,Curncy_ptfl,Comdty_ptfl
604,-1.2560770539787016,-1.255065068256509,-2.2816467341403435,-1.8473883016804067,-1.2953501895655637,-1.2813887452432908,-0.9401301798583493,-1.5423540826149365,-1.506831186120106,-1.2376392482458252,-1.4396748060925053,-1.3594534625591252,-2.029367835163452,-1.676711582071567,-2.099875583947075,-1.6932855681401218,-1.7738236219018746,-1.6354139810994468,-1.800091255067158,-0.5836571614273263,-0.7222320402631207,-0.6966238487179914,-0.6749735739464241,-0.6279085856222196,-1.0471486433887274,-1.4249811129067513,-0.05263088569492853,-0.6879763270146251,-1.6397869813948476,-1.061179843628222,-1.478062633466142,-0.9386324219206933,-3.951960851886613,-3.15085187977835,-1.4406810259059992,-3.042372071683539,-3.51829047758964,-2.515820643538876,-2.421041412878085,-2.4709094647337735,-2.9660048182470624,-3.478379339904418,-1.0757984348635559,-0.20818549440957437,-1.717182852433268
605,-1.3333506585868742,-1.2651714745923215,-2.2783790906308963,-1.8041807639925906,-1.283721415217993,-1.2610971168747065,-0.9289382482840661,-1.5199195609822425,-1.4989335969299846,-1.2388421495255082,-1.4321732040885518,-1.4013449279290673,-1.9943538143385777,-1.6582268506708688,-2.0681814848974565,-1.6026286624212909,-1.6632754428148446,-1.6198757201335017,-1.771781108583028,-0.5789783085188815,-0.7077430145536535,-0.6839457638873934,-0.6636213405356695,-0.6228215596472911,-1.0342783914545803,-1.1796120042588965,-0.05208256676959707,-0.6728901495568813,-1.5630571770933603,-1.056838408324994,-1.5075641245310016,-0.9222295930059677,-3.906876775117646,-3.093433529131346,-1.4990116916842495,-3.0336519274723948,-3.51475961695675,-2.556803480162953,-2.32053896203413,-2.4521204488008865,-2.829238579024253,-3.3123895110545845,-1.0676052688276274,-0.20055863626650303,-1.7154464095090867
606,-1.2934937446037866,-1.2518863805832612,-2.2412337826574817,-1.7627512265728253,-1.3052882169100144,-1.3246623039730934,-0.9899821003563738,-1.5046092766477563,-1.4887134927710846,-1.2274065665120504,-1.421676800806404,-1.2416685001049694,-1.9663103260094354,-1.6502289587387797,-2.031068572740517,-1.5259061573392148,-1.5704906636324867,-1.6292099060606458,-1.7437356955396537,-0.5750828334432846,-0.6905166638696997,-0.6731112958833245,-0.6606666583257101,-0.6198571683229556,-1.019908275440703,-1.125843226902957,-0.0528728035586932,-0.7080633381310606,-1.4779350632457713,-1.037345511478916,-1.5106146582043691,-0.9119232350109154,-3.8605135028163646,-2.9757521562755223,-1.4876974135028378,-2.986555492747905,-3.4983124476213776,-2.535223744995477,-2.2751157783708513,-2.426074252316766,-2.707861820551785,-3.23177538916769,-1.0633924717705605,-0.19081892097466244,-1.6985499214697133
607,-1.2725748948896138,-1.2347551144034101,-2.224177639897197,-1.721799022502822,-1.2899798747426738,-1.315208351292527,-0.956187696150058,-1.5239425456879412,-1.4751595466253935,-1.2280045262100827,-1.408611237164402,-1.221764250353767,-1.9350496946314173,-1.6820060968529298,-2.0656347561116943,-1.4439754403666365,-1.699381558877301,-1.625172074010377,-1.724991978132566,-0.5835320253978836,-0.743567906582642,-0.6873202641666281,-0.741783432814683,-0.6155632811969637,-1.0089838574900085,-1.1680056680844417,-0.05478674152211346,-0.7328020967278437,-1.4268976455964912,-1.0274528606340048,-1.5022423758516013,-0.8975973188926452,-3.8156866767134088,-3.1007637874102087,-1.4623741132224608,-2.9418146016954334,-3.480096386879777,-2.539927799466339,-2.2467502512508655,-2.3999950519011577,-2.628416846939666,-3.0498546589442737,-1.0544615033319418,-0.182747681183642,-1.6909367066179612
608,-1.2721548336933775,-1.2356791361739516,-2.2054169738609644,-1.832944858495962,-1.4247475746758782,-1.4017801919148996,-1.3881636978543932,-1.752374144077524,-1.532858633629002,-1.2317962872077723,-1.4639895748266947,-1.2157452287641017,-1.8990147385482525,-1.6569702788699987,-2.034107444900971,-1.4646548289664458,-1.6926608137355963,-1.659400518056763,-1.7081912403862372,-0.5804679871952271,-0.7218710011515519,-0.6738818982996438,-0.7374278811259253,-0.6245787820514163,-1.002742796920689,-1.0894248690221306,-0.055914184561842155,-0.7139349653863049,-1.3414753662646823,-1.0305155682304727,-1.4934463888839533,-0.881894562635983,-3.7743073731484285,-2.9808742025524118,-1.4406436619671574,-2.893287454686414,-3.4647738910637003,-2.4987233336735373,-2.284406525792913,-2.38778616968284,-2.7953898112639703,-2.885203770279216,-1.0753620549359502,-0.18536672191753098,-1.6757989370885786
609,-1.3116691516937715,-1.248838089728892,-2.1987414178642717,-1.9413582378898369,-1.4328034216917762,-1.3820531384926948,-1.3795521056166102,-1.7379338414375705,-1.5221981059442122,-1.2261678962212192,-1.4522249477094122,-1.419339900842661,-1.9458397423462572,-1.6318992077848322,-1.9975896294468587,-1.3876006519951765,-1.6348161732715543,-1.6462071614160445,-1.6869708891898882,-0.5762308179924656,-0.7026058018100577,-0.6615353575761245,-0.7246133536576461,-0.6518781959370684,-0.9942376379184511,-1.1414291313115772,-0.055964871160206826,-0.6955452029640603,-1.251912776559707,-1.015601939824068,-1.4812776065839277,-0.8666413438981239,-3.759225605673289,-2.909359694450465,-1.4382999278825568,-2.9610685489339126,-3.4563409702878163,-2.4981338103319555,-2.352052694470884,-2.4050710222992837,-3.1062576781788094,-2.804243704389368,-1.0652365627627196,-0.19985352364252107,-1.6755197215588746
610,-1.343881948501391,-1.261912156566119,-2.181479428678278,-2.0900195749399195,-1.444132176535489,-1.3848664532665125,-1.3976388500429304,-1.7818847183730153,-1.513848790438189,-1.2217082414417604,-1.4480926335600497,-1.2375967550866347,-1.9150027112514643,-1.608581475364436,-1.975632504626021,-1.3850940689888787,-1.5476913587067809,-1.6313024909688147,-1.6657969769418186,-0.5734208362062759,-0.6879755381072016,-0.6539222504258119,-0.7430293048436767,-0.6454688566234996,-0.9988828417638498,-1.1611652945337136,-0.056889577885634424,-0.6783639196052375,-1.6549261792846357,-0.9973204014864769,-1.4695171779690106,-0.8575568693330594,-3.7143597059910705,-2.9587333233631137,-1.4216915817768658,-2.9476840937731716,-3.4392865785390367,-2.4517060153670815,-2.5680190850727906,-2.67138001267164,-3.597683549493499,-2.636997680069082,-1.0571876855318112,-0.2569861663214841,-1.7028361548204765
611,-1.403521233357338,-1.2573824638930684,-2.188988469313421,-2.050675139441341,-1.4204846338612094,-1.3601541404725184,-1.3410795420149018,-1.7577532219004437,-1.4986338452854089,-1.2129441446688523,-1.4335383765314393,-1.1761634981039022,-1.9127886228389783,-1.5861412103471224,-1.9442837840220195,-1.4928494974469573,-1.4399822365570885,-1.619315490149029,-1.6385020730123774,-0.5813140016244663,-0.6746797005904769,-0.7040422057296262,-0.7350248111478108,-0.6414589596777629,-0.9928069801089718,-1.1195968003763217,-0.05618475541092286,-0.6615877860744509,-1.5629828439458004,-0.9893839195172909,-1.4556314252758844,-0.8780079709369082,-3.6801972040001165,-2.840579183482555,-1.3999053824185232,-2.903370390481881,-3.4382772614755295,-2.4476676933900943,-2.447675138806157,-2.6422858132933382,-3.4260681699736613,-3.143121808783165,-1.0483811701096433,-0.24678534129945143,-1.703576778705622
612,-1.3480964738699541,-1.2362607517988866,-2.169160394411564,-2.0059570598053726,-1.3987880332130664,-1.3334557818816153,-1.292955670671585,-1.7550064544005497,-1.4858545076207037,-1.204061649185664,-1.4232428784679054,-1.017859195231245,-1.8820334794551643,-1.586583241889788,-1.9353847463578324,-1.4122257225709718,-1.3606006952381644,-1.6067743923246638,-1.6225068446234663,-0.5768044883012861,-0.6692142020626566,-0.6903118473039113,-0.7240989671526986,-0.6513713657220002,-1.0109974159411321,-1.1426997212968846,-0.055544528676271764,-0.6588502406326254,-1.50264044013766,-0.9730574168943247,-1.4410012340174916,-0.8638167863259916,-3.640477125574492,-2.9117937310131077,-1.3754606180271383,-2.8664004731472965,-3.424240266310404,-2.5131949786840915,-2.5302613579549096,-2.767521512696731,-3.7975097367219335,-2.960144441221645,-1.0392316449126247,-0.23862281892346762,-1.742891122997808
613,-1.2941590647696233,-1.2142217040679744,-2.136336535172089,-1.9654038819454818,-1.378291696833504,-1.311527211374906,-1.2398592177415375,-1.7372969081494012,-1.47216969505895,-1.192487058742725,-1.4110100776255454,-0.9208367229146258,-1.8470213040168972,-1.5627282392500408,-1.9314023883372804,-1.5232257035708932,-1.2796324593396962,-1.592137836536614,-1.5963460731549637,-0.572802971472763,-0.725744259772338,-0.6768460039657972,-0.7121734050249027,-0.6447008462700492,-1.0057156387904134,-1.118154011706139,-0.055049115184706385,-0.6426862832302763,-1.4063113487408532,-0.9871615303786173,-1.4349081569612994,-0.8517244970660319,-3.6092229344228848,-3.130418424501581,-1.352124985819238,-2.8194764440386373,-3.4067750452769165,-2.487150241192296,-2.4872276239732196,-2.742649685756164,-3.768907423812166,-3.128472694087609,-1.0290068693245698,-0.23615406324606344,-1.7419374377712253
614,-1.2453312174522375,-1.2023209772138292,-2.103283205709389,-1.920233269347601,-1.3567289338813402,-1.28958269058176,-1.2182279672550445,-1.7156702829986383,-1.4587185593499001,-1.200900510253576,-1.397799006025582,-0.8469963265669104,-1.8183837899058473,-1.544080369689197,-1.95654082633011,-1.7523344099994491,-1.272915629924761,-1.5788895438751982,-1.6207902891213295,-0.5733436487782481,-0.7075288019080757,-0.6752538897301418,-0.70161273234177,-0.6577684634794028,-0.9960093856252722,-1.1818287846961262,-0.0544638825980337,-0.6411186323711101,-1.688949097644579,-0.9879926785953557,-1.4374392976429067,-0.8381067943528085,-3.580818947336352,-3.11061220291816,-1.3296397125118053,-2.7738921130741345,-3.42647392271128,-2.4415344440048234,-2.3774797380276733,-2.7247466224229737,-3.630381574201533,-3.056021190106562,-1.0224867165619171,-0.25847751717330253,-1.726736034079403
615,-1.247598023370717,-1.2019077554158009,-2.070276139580943,-1.8747249610525154,-1.3436448318877343,-1.3041625123591445,-1.169502329288569,-1.6897955717646305,-1.4440758605366821,-1.1953607542111324,-1.3838182485577137,-0.9011878851999835,-1.8027267557097615,-1.528297395891167,-1.9216439592731964,-1.7370776770773617,-1.3115678005569427,-1.569114940028854,-1.619485028055584,-0.5688159650698882,-0.7090930302128595,-0.663011622818776,-0.6897401444414866,-0.6536646149594204,-0.9863735627871325,-1.093089648326766,-0.053763344806745564,-0.6434991596062698,-1.567954381389547,-0.9874864112300005,-1.4276865318511265,-0.8247532112672954,-3.5712056581370155,-2.973827284954317,-1.3152900737990545,-2.7306928035853195,-3.4124504453127744,-2.396199877131043,-2.3172053602095377,-2.7207392086284448,-3.634275343578443,-3.4047943871739528,-1.0125720252805464,-0.24753915812900004,-1.709270354705761
616,-1.2557406746286348,-1.1929347147904674,-2.0528227746252656,-1.8560893744254097,-1.3351463503749184,-1.2793028560262591,-1.152765387282167,-1.662722427292974,-1.4298327505492547,-1.196852729437227,-1.3704887658986231,-0.819114127172544,-1.877233891402635,-1.523630785112765,-1.9765791403966244,-1.7672695679837545,-1.698647028218367,-1.5626241063368682,-1.5969297966333225,-0.5892064400575551,-0.7163458585472936,-0.7393744441609346,-0.7340470520760545,-0.6470123212454593,-0.9941049832110318,-1.3687099160719447,-0.054632260881837535,-0.6273913060668447,-1.7620724174931812,-1.0058349317316346,-1.4459780849357782,-0.8314464222601381,-3.56156751205993,-2.8545617114403146,-1.2915852582265002,-2.6934397491790496,-3.3962283570076286,-2.353534247201648,-2.40756424536787,-2.6952139860550943,-4.439044135142541,-3.3561935775273244,-1.015313528701519,-0.24199616946904506,-1.711366141735929
617,-1.2173368421831066,-1.1925201263454688,-2.0248923171370015,-1.812427345550883,-1.3311523793366566,-1.2763380670129425,-1.1481341681285726,-1.6597171025187485,-1.415461846339044,-1.1920031504005522,-1.3567143137689361,-0.7852381681082393,-1.8864978268961963,-1.500776746821289,-1.941581406912897,-1.6592553425585428,-1.708763659329643,-1.5535923721867266,-1.5707320807961316,-0.5904994365483598,-0.7075672622315011,-0.7379827366405083,-0.7503957111803976,-0.6405632428172575,-0.9989527758322105,-1.1989795063159883,-0.053997582099425595,-0.6154666463161885,-1.6343807093216747,-0.9934664044261459,-1.4390881577847636,-0.8377694267880866,-3.5210578378191215,-2.7830776637819197,-1.3358628899952594,-2.880805979947772,-3.3962496439040537,-2.350719329599142,-2.315574611149836,-2.7134372400969458,-4.231131540097405,-3.1542376572064716,-1.006001840021393,-0.2823542583655026,-1.6942429141418716
618,-1.2217983604473588,-1.171465416161134,-2.0712384054572124,-1.7700287352697366,-1.4477491547012311,-1.5315941486777862,-1.1880472228951893,-1.6482289624555164,-1.4098547221784792,-1.1809174717934892,-1.3523674490379005,-1.2365010910893277,-1.8647751145293916,-1.478304553774034,-1.9278552543534153,-1.7978872670770132,-1.6020774828656987,-1.5465423351320922,-1.5997028622047118,-0.592096765820504,-0.7018627811046795,-0.7412229714972478,-0.7392657135913774,-0.6365491884507909,-1.0113383917945162,-1.2381788550661055,-0.053474651075770284,-0.6006646722620249,-1.517490318987996,-0.9763754789218366,-1.4284160666332597,-0.8471383100114762,-3.514048829089456,-2.654087685014049,-1.3329254334319742,-2.866739832034691,-3.3785136931114934,-2.3076007351600807,-2.2726805581105967,-2.706603143830309,-4.09691735696516,-3.0388885181729015,-1.0080174919195228,-0.2787158712636356,-1.683765056482438
619,-1.1788576084602298,-1.1541761767993586,-2.0408410051445385,-1.728862597478082,-1.5643303122859116,-1.6758933023281233,-1.336664073547996,-1.6933603040921876,-1.4492011102886198,-1.1787303348536577,-1.3769378602649536,-1.1455470666209617,-1.8366588114923537,-1.4562084180058095,-1.911344865093403,-2.0209716083423386,-1.4922790156301267,-1.581500036328892,-1.6459964514904875,-0.5872824000083828,-0.68769092039815,-0.7242223596167806,-0.7274783858218411,-0.635020092816167,-1.0096246156196427,-1.3297110116316502,-0.05296012363245584,-0.5857733185090209,-1.6593618970853639,-0.9609187459931062,-1.4227229116666635,-0.8395851837584878,-3.4723493231047895,-2.5759719188267596,-1.3150378229381605,-2.8194703473261944,-3.3610405694999748,-2.2650349672916534,-2.167892540849465,-2.735499804470987,-3.9184574871446225,-2.853965460723076,-1.0164453881537574,-0.2651801844806971,-1.6690630441572432
620,-1.2115521111482137,-1.1709376932294875,-2.010996327947039,-1.8152445640056236,-1.5375011085466044,-1.6405909104595,-1.288634345891805,-1.6667028186907944,-1.4397998033494832,-1.1676314734349797,-1.3683175348153593,-1.1834474085942321,-1.8192839450134313,-1.4352563753227408,-1.884581666265321,-1.8815251827246597,-1.5630729554497342,-1.5699662048122762,-1.6190988869625809,-0.5894449291277595,-0.6755308837782587,-0.7382424466228946,-0.715701995951921,-0.6672505019647976,-1.004574389111578,-1.133618095231374,-0.052453895241030495,-0.5753181167589198,-1.7260571618814973,-0.9616694140467725,-1.4318365037728207,-0.8394412424285566,-3.4458663413288684,-2.463266743398623,-1.3835797753174013,-2.921680824242392,-3.3665850040766476,-2.287519339157898,-2.2064160346522623,-2.717022748296565,-3.7301045309756384,-3.4363512187913514,-1.0104953880542542,-0.2525180549866945,-1.676161562050042
621,-1.2269267869045057,-1.1690007285327044,-1.9960777627624906,-1.7730775004626684,-1.5375723305002102,-1.6732994141819795,-1.2554959174650706,-1.6617145257495252,-1.4361540921578024,-1.17644496819243,-1.3687591051934538,-1.0363936840494827,-1.7859733671052547,-1.4265623243971295,-1.8575555940252222,-2.1597667431621432,-1.512018939270619,-1.5838409911351532,-1.698144682270278,-0.6122759015807772,-0.7050657722309592,-0.8017662986735932,-0.7369124809217941,-0.6611264887978759,-1.0224864662946644,-1.1711933966518304,-0.052180370022299485,-0.5729286293877892,-1.654062072230288,-0.9825976459520208,-1.4393734800295415,-0.8936926509727373,-3.4056587106099636,-2.403114370929401,-1.3856110117624287,-2.8773881745437206,-3.3491814614061717,-2.44657035776081,-2.160063803932411,-2.700656092586249,-3.6419084112755824,-3.228118282499902,-1.0144313668181952,-0.24501606251621783,-1.676933917432446
